filename,puzzle_correct,patch_matches,time_s
img_086_(a)_img_086.png,0,2,3.78
img_086_(b)_img_086.png,0,2,3.98
img_086_(c)_img_086.png,0,1,3.83
img_086_(d)_img_086.png,0,1,3.93
img_086_(e)_img_086.png,1,9,3.81
img_086_(f)_img_086.png,0,4,3.78
img_086_(g)_img_086.png,0,5,3.86
img_086_(h)_img_086.png,0,1,3.90
img_086_(i)_img_086.png,0,5,3.97
img_086_(j)_img_086.png,0,4,3.69
img_086_(k)_img_086.png,0,2,3.75
img_086_(l)_img_086.png,0,0,3.84
img_086_(m)_img_086.png,0,5,3.73
img_086_(n)_img_086.png,0,4,3.82
img_086_(o)_img_086.png,0,2,3.83
img_086_(p)_img_086.png,0,0,3.83
img_086_(q)_img_086.png,0,4,3.70
img_086_(r)_img_086.png,0,7,3.82
img_086_(s)_img_086.png,0,4,3.70
img_086_(t)_img_086.png,0,1,3.79
img_086_(u)_img_086.png,0,0,3.87
img_086_(v)_img_086.png,1,9,3.82
img_086_(w)_img_086.png,0,3,3.76
img_086_(x)_img_086.png,1,9,3.75
img_086_(y)_img_086.png,0,1,3.88
img_086_(z)_img_086.png,0,0,3.84
img_086_({)_img_086.png,0,1,3.84
img_086_(|)_img_086.png,0,4,3.91
img_086_(})_img_086.png,0,0,4.14
img_086_(~)_img_086.png,0,2,3.85
img_086_()_img_086.png,0,2,3.96
img_087_(a)_img_087.png,0,1,3.79
img_087_(b)_img_087.png,0,0,3.72
img_087_(c)_img_087.png,0,3,3.70
img_095_(a)_img_095.png,0,1,3.69
img_095_(b)_img_095.png,0,0,3.77
img_095_(c)_img_095.png,0,3,3.68
img_097_(a)_img_097.png,0,6,3.73
img_097_(b)_img_097.png,0,1,3.74
img_111_(a)_img_111.png,0,0,4.83
img_111_(b)_img_111.png,0,0,3.73
img_111_(c)_img_111.png,0,0,3.81
img_111_(d)_img_111.png,0,1,3.88
img_111_(e)_img_111.png,0,1,4.24
img_111_(f)_img_111.png,0,2,3.88
img_111_(g)_img_111.png,0,2,4.09
img_111_(h)_img_111.png,1,9,3.91
img_111_(i)_img_111.png,0,1,3.93
img_111_(j)_img_111.png,0,3,4.29
img_111_(k)_img_111.png,0,1,3.87
img_111_(l)_img_111.png,0,2,4.15
img_111_(m)_img_111.png,1,9,3.85
img_111_(n)_img_111.png,0,0,3.74
img_111_(o)_img_111.png,0,4,3.72
img_111_(p)_img_111.png,0,3,4.19
img_111_(q)_img_111.png,1,9,3.76
img_111_(r)_img_111.png,0,2,3.72
img_124_1_(a)_img_124_1.png,0,2,3.75
img_124_1_(b)_img_124_1.png,0,5,3.94
img_124_1_(c)_img_124_1.png,0,2,3.83
img_124_2_(a)_img_124_2.png,0,0,3.83
img_124_2_(b)_img_124_2.png,0,0,3.78
img_124_2_(c)_img_124_2.png,0,0,3.76
img_130_(a)_img_130.png,0,6,3.81
img_130_(b)_img_130.png,0,3,4.24
img_130_(c)_img_130.png,0,2,4.17
img_130_(d)_img_130.png,0,4,3.79
img_130_(e)_img_130.png,0,0,4.14
